PRODUCT_NAME,ADDED_SUGARS_100G,ALCOHOL_100G,ALPHA_LINOLENIC_ACID_100G,BIOTIN_100G,BUTYRIC_ACID_100G,CALCIUM_100G,CARBOHYDRATES_100G,CARBON_FOOTPRINT_100G,CARBON_FOOTPRINT_FROM_MEAT_OR_FISH_100G,CHLORIDE_100G,CHOLESTEROL_100G,CHROMIUM_100G,COCOA_100G,COPPER_100G,COUNTRIES_EN,ECOSCORE_GRADE,ECOSCORE_SCORE,ENERGY_100G,ENERGY_FROM_FAT_100G,ENERGY_KCAL_100G,ENERGY_KJ_100G,FAT_100G,FIBER_100G,FLUORIDE_100G,FOLATES_100G,FRUCTOSE_100G,FRUITS_VEGETABLES_NUTS_100G,FRUITS_VEGETABLES_NUTS_DRIED_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_100G,FRUITS_VEGETABLES_NUTS_ESTIMATE_FROM_INGREDIENTS_100G,GLUCOSE_100G,INSOLUBLE_FIBER_100G,IODINE_100G,IRON_100G,ISO3,LACTOSE_100G,LINOLEIC_ACID_100G,MAGNESIUM_100G,MALTODEXTRINS_100G,MANGANESE_100G,MOLYBDENUM_100G,MONOUNSATURATED_FAT_100G,NUTRISCORE_GRADE,NUTRISCORE_SCORE,NUTRITION_SCORE_FR_100G,OLEIC_ACID_100G,OMEGA_3_FAT_100G,OMEGA_6_FAT_100G,PANTOTHENIC_ACID_100G,PHOSPHORUS_100G,PHYLLOQUINONE_100G,PIB,POLYUNSATURATED_FAT_100G,POTASSIUM_100G,PROTEINS_100G,SALT_100G,SATURATED_FAT_100G,SELENIUM_100G,SODIUM_100G,SOLUBLE_FIBER_100G,STARCH_100G,SUCROSE_100G,SUGARS_100G,TRANS_FAT_100G,UNSATURATED_FAT_100G,VITAMIN_A_100G,VITAMIN_B12_100G,VITAMIN_B1_100G,VITAMIN_B2_100G,VITAMIN_B6_100G,VITAMIN_B9_100G,VITAMIN_C_100G,VITAMIN_D_100G,VITAMIN_E_100G,VITAMIN_K_100G,VITAMIN_PP_100G,ZINC_100G
MARINOVANE TOFU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZECHIA,2,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245974558654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFU UZENE,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZECHIA,2,79.0,713.0,0.0,171.0,713.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,245974558654.0,0.0,0.0,17.0,1.5,1.7,0.0,0.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO TOFU,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRANCE,7,0.0,623.0,0.0,149.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639008701648.0,0.0,0.0,15.0,0.5,2.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFU,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IRELAND,7,0.0,703.0,0.0,168.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425852281928.0,0.0,0.0,15.2,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFU BIO SOYANA,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IRELAND,7,0.0,703.0,0.0,168.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425852281928.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFU A LA JAPONAISE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRANCE,2,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2639008701648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFU,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITALY,7,0.0,556.0,0.0,133.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897210466668.0,0.0,0.0,14.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRM TOFU,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUSTRALIA,2,77.0,588.0,0.0,0.0,588.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1326944627877.0,0.0,0.0,15.9,0.5334,1.3,0.0,0.21336,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PESTO ALLA GENOVESE TOFU,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRANCE,4,38.0,1700.0,0.0,406.3,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2639008701648.0,0.0,0.0,2.7,3.3,4.8,0.0,1.32,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFU,0.0,0.0,0.0,0.0,0.0,0.0,2.6549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CANADA,7,0.0,56.0,0.0,13.2743,0.0,0.4425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647598402303.0,0.0,0.0,0.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
